route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
145X,RTD,145X,Brighton / Denver Airport ,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF
15,RTD,15,East Colfax Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
153,RTD,153,Chambers Road,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
15L,RTD,15L,East Colfax Limited,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
16,RTD,16,West Colfax Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
169,RTD,169,Buckley Road,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
169L,RTD,169L,Buckley / Tower DIA Limited,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
19,RTD,19,North Pecos ,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
20,RTD,20,20th Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
204,RTD,204,Table Mesa / Moorhead / North 19th,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
205,RTD,205,28th St / Gunbarrel ,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
206,RTD,206,Boulder Junction/ Fairview H.S.,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
208,RTD,208,Iris / Valmont,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
21,RTD,21,Evans Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
225,RTD,225,Boulder / Lafayette via Baseline,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
225D,RTD,225D,Boulder / Lafayette via Baseline,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
225T,RTD,225T,Boulder / Lafayette via Baseline,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
228,RTD,228,Louisville / Broomfield,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
24,RTD,24,University Blvd,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
28,RTD,28,28th Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
29,RTD,29,Riverbend,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
3,RTD,3,Alameda Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
30,RTD,30,South Federal Blvd,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
31,RTD,31,Federal Blvd ,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
32,RTD,32,West 32nd Avenue / City Park,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
323,RTD,323,Skyline Crosstown,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
324,RTD,324,Main Street,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
326,RTD,326,Westside Crosstown,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
327,RTD,327,Eastside Crosstown,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
34,RTD,34,Bruce Randolph Ave,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
35,RTD,35,Hampden Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
36,RTD,36,Fort Logan,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
37,RTD,37,Smith Road Industrial,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
38,RTD,38,West 38th Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
3L,RTD,3L,East Alameda Limited,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
4,RTD,4,Morrison Road,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
40,RTD,40,Colorado Boulevard,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
402L,RTD,402L,Highlands Ranch Parkway,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
42,RTD,42,Montbello via Albrook/GVR,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
43,RTD,43,Martin Luther King Blvd,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
44,RTD,44,44th Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
45,RTD,45,Montbello via 51st/GVR,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
46,RTD,46,South Dahlia,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
48,RTD,48,East 48th Avenue / Commerce City,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
483,RTD,483,Parker Road - Lincoln Ave,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
49,RTD,49,Denver/ Commerce City,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
51,RTD,51,Sheridan Blvd,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
52,RTD,52,W 52nd Avenue / South Bannock,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
520,RTD,520,Brighton,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
59,RTD,59,West Bowles,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
6,RTD,6,East 6th Avenue ,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
65,RTD,65,Monaco Parkway,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
66,RTD,66,Arapahoe Road,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
72,RTD,72,72nd Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
73,RTD,73,Quebec Street,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
76,RTD,76,Wadsworth Blvd,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
8,RTD,8,North Broadway / Huron,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
83D,RTD,83D,Cherry Creek / Parker Rd Limited,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
83L,RTD,83L,Cherry Creek / Parker Rd Limited,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
88,RTD,88,Central Park/ 72nd Ave Station,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
88L,RTD,88L,Thornton/Commerce City Limited,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
9,RTD,9,West 10th Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
92,RTD,92,92nd Avenue,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
93L,RTD,93L,N Colorado Blvd Limited,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
99,RTD,99,South Kipling Street,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0077CE,FFFFFF
A,RTD,A,Union Station to Denver Airport Station,This Route Travels Eastbound & Westbound,2,http://www.rtd-denver.com/Schedules.shtml,57C1E9,FFFFFF
AB1,RTD,AB1,Boulder / Denver Airport,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,57C1E9,FFFFFF
AT,RTD,AT,Arapahoe County / Denver Airport,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,57C1E9,FFFFFF
ATA,RTD,ATA,Arapahoe County / Denver Airport,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,57C1E9,FFFFFF
BOLT,RTD,BOLT,Boulder / Longmont,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF
BOND,RTD,BOUND,30th Street,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
CV,RTD,CV,Pine Junction / Conifer / Denver,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF
DASH,RTD,DASH,Boulder / Lafayette via Louisville,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
EV,RTD,EV,Evergreen / Denver,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF
FF1,RTD,FF1,Flatiron Flyer,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,1E4286,FFFFFF
FF3,RTD,FF3,Flatiron Flyer,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,1E4286,FFFFFF
FF5,RTD,FF5,Flatiron Flyer,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,1E4286,FFFFFF
JUMP,RTD,JUMP,Boulder / Lafayette via Arapahoe,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
LD1,RTD,LD1,Longmont / Denver,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF
LD3,RTD,LD3,Longmont / Denver,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF
MALL,RTD,MALLRIDE,Free Mall Ride,This Route Travels Civic Ctr & Union Stn,3,http://www.rtd-denver.com/Schedules.shtml,675DC6,FFFFFF
NB1,RTD,NB1,Eldora/ Nederland/ Boulder,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF
NB2,RTD,NB2,Eldora/ Nederland/ Boulder,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF
P,RTD,P,Parker / Denver,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF
RX,RTD,RX,Brighton / Denver Express,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,64A70B,FFFFFF
SKIP,RTD,SKIP,Broadway,This Route Travels Northbound & Southbound,3,http://www.rtd-denver.com/Schedules.shtml,0076CE,FFFFFF
TRLY,RTD,ENWD TROLLEY,Englewood Trolley,This Route Travels Eastbound & Westbound,3,http://www.rtd-denver.com/Schedules.shtml,FFFF00,000000
